draw:
1: [2, 3, 14, 19, 34, 38]
2: [19, 21, 29, 34, 36, 38]
3: [3, 6, 11, 24, 34, 47]
4: [3, 8, 21, 22, 37, 41]
5: [11, 17, 25, 31, 35, 41]
6: [6, 15, 21, 23, 27, 39]
7: [1, 3, 4, 31, 32, 49]
8: [4, 16, 18, 20, 33, 48]

===
distribution:
1: 9903/9796
2: 9824/9796
3: 9822/9796
4: 9840/9796
5: 9919/9796
6: 9923/9796
7: 9710/9796
8: 9883/9796
9: 9933/9796
10: 9775/9796
11: 9755/9796
12: 9577/9796
13: 9836/9796
14: 9757/9796
15: 9847/9796
16: 9790/9796
17: 9758/9796
18: 9934/9796
19: 9609/9796
20: 9688/9796
21: 9893/9796
22: 9873/9796
23: 9710/9796
24: 9787/9796
25: 9787/9796
26: 9817/9796
27: 9684/9796
28: 9806/9796
29: 9788/9796
30: 9885/9796
31: 9827/9796
32: 9807/9796
33: 9725/9796
34: 9786/9796
35: 9795/9796
36: 9809/9796
37: 9771/9796
38: 9694/9796
39: 9773/9796
40: 9827/9796
41: 10010/9796
42: 9656/9796
43: 9834/9796
44: 9765/9796
45: 9571/9796
46: 9913/9796
47: 9713/9796
48: 9805/9796
49: 9806/9796
